ID,Timestamp,Age Category,Image Path,Anak-anak,Remaja,Dewasa,Lansia
1,2025-02-22 12:25:22,Anak-anak,captured_faces\face_1.jpg,1,0,0,0
2,2025-02-22 12:25:22,Anak-anak,captured_faces\face_2.jpg,2,0,0,0
3,2025-02-22 12:25:22,Anak-anak,captured_faces\face_3.jpg,3,0,0,0
4,2025-02-22 12:25:22,Anak-anak,captured_faces\face_4.jpg,4,0,0,0
5,2025-02-22 12:25:22,Dewasa,captured_faces\face_5.jpg,4,0,1,0
6,2025-02-22 12:25:22,Dewasa,captured_faces\face_6.jpg,4,0,2,0
7,2025-02-22 12:25:23,Anak-anak,captured_faces\face_7.jpg,5,0,2,0
8,2025-02-22 12:25:23,Anak-anak,captured_faces\face_8.jpg,6,0,2,0
9,2025-02-22 12:25:23,Anak-anak,captured_faces\face_9.jpg,7,0,2,0
10,2025-02-22 12:25:23,Anak-anak,captured_faces\face_10.jpg,8,0,2,0
11,2025-02-22 12:25:23,Dewasa,captured_faces\face_11.jpg,8,0,3,0
12,2025-02-22 12:25:23,Anak-anak,captured_faces\face_12.jpg,9,0,3,0
13,2025-02-22 12:25:23,Anak-anak,captured_faces\face_13.jpg,10,0,3,0
14,2025-02-22 12:25:23,Anak-anak,captured_faces\face_14.jpg,11,0,3,0
15,2025-02-22 12:25:23,Remaja,captured_faces\face_15.jpg,11,1,3,0
16,2025-02-22 12:25:23,Anak-anak,captured_faces\face_16.jpg,12,1,3,0
17,2025-02-22 12:25:23,Remaja,captured_faces\face_17.jpg,12,2,3,0
18,2025-02-22 12:25:23,Remaja,captured_faces\face_18.jpg,12,3,3,0
19,2025-02-22 12:25:23,Remaja,captured_faces\face_19.jpg,12,4,3,0
20,2025-02-22 12:25:23,Remaja,captured_faces\face_20.jpg,12,5,3,0
21,2025-02-22 12:25:24,Remaja,captured_faces\face_21.jpg,12,6,3,0
22,2025-02-22 12:25:24,Remaja,captured_faces\face_22.jpg,12,7,3,0
23,2025-02-22 12:25:24,Remaja,captured_faces\face_23.jpg,12,8,3,0
24,2025-02-22 12:25:24,Remaja,captured_faces\face_24.jpg,12,9,3,0
25,2025-02-22 12:25:24,Remaja,captured_faces\face_25.jpg,12,10,3,0
26,2025-02-22 12:25:24,Remaja,captured_faces\face_26.jpg,12,11,3,0
27,2025-02-22 12:25:24,Remaja,captured_faces\face_27.jpg,12,12,3,0
28,2025-02-22 12:25:24,Remaja,captured_faces\face_28.jpg,12,13,3,0
29,2025-02-22 12:25:24,Remaja,captured_faces\face_29.jpg,12,14,3,0
30,2025-02-22 12:25:24,Remaja,captured_faces\face_30.jpg,12,15,3,0
31,2025-02-22 12:25:24,Remaja,captured_faces\face_31.jpg,12,16,3,0
32,2025-02-22 12:25:24,Remaja,captured_faces\face_32.jpg,12,17,3,0
33,2025-02-22 12:25:24,Anak-anak,captured_faces\face_33.jpg,13,17,3,0
34,2025-02-22 12:25:24,Anak-anak,captured_faces\face_34.jpg,14,17,3,0
35,2025-02-22 12:25:25,Anak-anak,captured_faces\face_35.jpg,15,17,3,0
36,2025-02-22 12:25:25,Anak-anak,captured_faces\face_36.jpg,16,17,3,0
37,2025-02-22 12:25:25,Anak-anak,captured_faces\face_37.jpg,17,17,3,0
38,2025-02-22 12:25:25,Anak-anak,captured_faces\face_38.jpg,18,17,3,0
39,2025-02-22 12:25:25,Anak-anak,captured_faces\face_39.jpg,19,17,3,0
40,2025-02-22 12:25:25,Anak-anak,captured_faces\face_40.jpg,20,17,3,0
41,2025-02-22 12:25:25,Anak-anak,captured_faces\face_41.jpg,21,17,3,0
42,2025-02-22 12:25:25,Anak-anak,captured_faces\face_42.jpg,22,17,3,0
43,2025-02-22 12:25:25,Anak-anak,captured_faces\face_43.jpg,23,17,3,0
44,2025-02-22 12:25:25,Anak-anak,captured_faces\face_44.jpg,24,17,3,0
45,2025-02-22 12:25:25,Anak-anak,captured_faces\face_45.jpg,25,17,3,0
46,2025-02-22 12:25:25,Anak-anak,captured_faces\face_46.jpg,26,17,3,0
47,2025-02-22 12:25:26,Anak-anak,captured_faces\face_47.jpg,27,17,3,0
48,2025-02-22 12:25:26,Anak-anak,captured_faces\face_48.jpg,28,17,3,0
49,2025-02-22 12:25:26,Anak-anak,captured_faces\face_49.jpg,29,17,3,0
50,2025-02-22 12:25:26,Anak-anak,captured_faces\face_50.jpg,30,17,3,0
51,2025-02-22 12:25:26,Anak-anak,captured_faces\face_51.jpg,31,17,3,0
52,2025-02-22 12:25:26,Anak-anak,captured_faces\face_52.jpg,32,17,3,0
53,2025-02-22 12:25:26,Anak-anak,captured_faces\face_53.jpg,33,17,3,0
54,2025-02-22 12:25:26,Anak-anak,captured_faces\face_54.jpg,34,17,3,0
55,2025-02-22 12:25:26,Anak-anak,captured_faces\face_55.jpg,35,17,3,0
56,2025-02-22 12:25:26,Anak-anak,captured_faces\face_56.jpg,36,17,3,0
57,2025-02-22 12:25:26,Anak-anak,captured_faces\face_57.jpg,37,17,3,0
58,2025-02-22 12:25:26,Remaja,captured_faces\face_58.jpg,37,18,3,0
59,2025-02-22 12:25:26,Remaja,captured_faces\face_59.jpg,37,19,3,0
60,2025-02-22 12:25:27,Remaja,captured_faces\face_60.jpg,37,20,3,0
61,2025-02-22 12:25:27,Remaja,captured_faces\face_61.jpg,37,21,3,0
62,2025-02-22 12:25:27,Remaja,captured_faces\face_62.jpg,37,22,3,0
63,2025-02-22 12:25:27,Remaja,captured_faces\face_63.jpg,37,23,3,0
64,2025-02-22 12:25:27,Anak-anak,captured_faces\face_64.jpg,38,23,3,0
65,2025-02-22 12:25:27,Anak-anak,captured_faces\face_65.jpg,39,23,3,0
66,2025-02-22 12:25:27,Anak-anak,captured_faces\face_66.jpg,40,23,3,0
67,2025-02-22 12:25:27,Anak-anak,captured_faces\face_67.jpg,41,23,3,0
68,2025-02-22 12:25:27,Anak-anak,captured_faces\face_68.jpg,42,23,3,0
69,2025-02-22 12:25:27,Anak-anak,captured_faces\face_69.jpg,43,23,3,0
70,2025-02-22 12:25:28,Anak-anak,captured_faces\face_70.jpg,44,23,3,0
71,2025-02-22 12:25:28,Anak-anak,captured_faces\face_71.jpg,45,23,3,0
72,2025-02-22 12:25:28,Anak-anak,captured_faces\face_72.jpg,46,23,3,0
73,2025-02-22 12:25:28,Anak-anak,captured_faces\face_73.jpg,47,23,3,0
74,2025-02-22 12:25:28,Anak-anak,captured_faces\face_74.jpg,48,23,3,0
75,2025-02-22 12:25:28,Anak-anak,captured_faces\face_75.jpg,49,23,3,0
